open_time,open,high,low,close,volume,tenkan,kijun,senkou_a,senkou_b,chikou
2023-05-05 00:00:00+00:00,27927.68,29379.83,27872.0,28937.63,153345.71013,,,,,29983.79
2023-05-08 00:00:00+00:00,28937.62,29820.0,28300.0,28572.17,139418.89502,,,,,29112.86
2023-05-11 00:00:00+00:00,28572.17,28587.77,26777.0,27515.09,178053.46643,,,,,29273.0
2023-05-14 00:00:00+00:00,27515.09,27630.14,25811.46,26741.31,137617.46441,,,,,29461.54
2023-05-17 00:00:00+00:00,26741.31,27663.59,26635.65,27098.59,94687.91918,,,,,29170.68
2023-05-20 00:00:00+00:00,27098.58,27500.0,26361.2,26845.71,120493.69508,,,,,29067.5
2023-05-23 00:00:00+00:00,26845.71,27277.55,26538.21,26822.33,62500.42982,,,,,29782.01
2023-05-26 00:00:00+00:00,26822.34,27495.83,25871.89,26469.93,130805.84061,,,,,29454.73
2023-05-29 00:00:00+00:00,26469.94,28447.14,26327.24,28192.53,98838.01024999999,27815.73,,,,29433.88
2023-06-01 00:00:00+00:00,28192.52,28214.68,26839.01,27065.77,118568.03040999999,27815.73,,,,26737.3
2023-06-04 00:00:00+00:00,27065.76,27333.29,26505.0,27005.13,89913.74913,27199.614999999998,,,,26142.0
2023-06-07 00:00:00+00:00,27005.13,27455.02,25351.02,27179.8,155956.12536,26899.08,,,,26513.66
2023-06-10 00:00:00+00:00,27179.8,27222.14,26125.01,26459.99,116302.93542,26899.08,,,,26000.01
2023-06-13 00:00:00+00:00,26459.99,26533.87,25358.0,25868.89,126028.96184,26899.08,,,,27622.24
2023-06-16 00:00:00+00:00,25868.88,26433.21,24800.0,25496.59,134499.3734,26623.57,,,,25789.12
2023-06-19 00:00:00+00:00,25496.59,26839.99,25175.56,26366.1,100694.35356999999,26623.57,,,,25768.49
2023-06-22 00:00:00+00:00,26366.1,30800.0,26308.45,30139.48,216523.54902,27800.0,,,,26359.08
2023-06-25 00:00:00+00:00,30139.47,31431.94,29525.61,30513.23,160987.21405,28115.97,,,,25726.35
2023-06-28 00:00:00+00:00,30513.24,31046.01,29930.0,30614.0,119249.01821,28115.97,,,,26522.0
2023-07-01 00:00:00+00:00,30614.01,31282.0,29500.0,30469.83,165524.34225,28115.97,,,,26468.67
2023-07-04 00:00:00+00:00,30469.82,31380.0,30155.0,31112.86,84213.33369,28115.97,,,,27206.68
2023-07-07 00:00:00+00:00,31112.86,31500.0,29701.02,30052.6,141538.01543,28150.0,,,,26603.1
2023-07-10 00:00:00+00:00,30052.59,30449.0,29930.53,30090.27,60837.3406,28150.0,,,,26266.0
2023-07-13 00:00:00+00:00,30090.26,31045.78,30000.02,30353.51,105779.52868999999,28337.78,,,,27066.78
2023-07-16 00:00:00+00:00,30353.51,31804.2,29900.0,30299.99,145027.8678,29056.325,,,,27932.05
2023-07-19 00:00:00+00:00,30299.99,30441.46,29512.0,30055.32,77851.36622,30652.1,28302.1,,,27811.78
2023-07-22 00:00:00+00:00,30055.31,30417.46,29570.96,29983.79,86032.08669,30652.1,28302.1,,,27964.93
2023-07-25 00:00:00+00:00,29983.8,30350.0,28861.9,29112.86,72896.59753,30333.050000000003,28302.1,,,27462.46
2023-07-28 00:00:00+00:00,29112.87,29690.0,29047.65,29273.0,77903.94717,30333.050000000003,28302.1,,,26892.46
2023-07-31 00:00:00+00:00,29273.0,29542.22,29033.24,29461.54,51811.43645,30333.050000000003,28302.1,,,28278.09
2023-08-03 00:00:00+00:00,29461.55,30047.5,28585.7,29170.68,114310.83161,30194.95,28302.1,,,28640.0
2023-08-06 00:00:00+00:00,29170.68,29433.33,28807.54,29067.5,61127.74453,30194.95,28302.1,,,30120.0
2023-08-09 00:00:00+00:00,29067.5,30244.0,28701.03,29782.01,90527.28581,30194.95,28302.1,,,34660.0
2023-08-12 00:00:00+00:00,29782.01,30160.0,29252.45,29454.73,81520.48897,29513.58,28302.1,,,34075.99
2023-08-15 00:00:00+00:00,29454.72,29695.32,29102.45,29433.88,51624.54276,29501.58,28302.1,,,34507.68
2023-08-18 00:00:00+00:00,29433.89,29499.26,25166.0,26737.3,164370.89217,27758.0,28302.1,,,34696.65
2023-08-21 00:00:00+00:00,26737.3,26759.96,25619.0,26142.0,111613.722,27705.0,28302.1,,,34924.9
2023-08-24 00:00:00+00:00,26142.0,26819.27,25300.0,26513.66,109102.40688,27705.0,28302.1,,,36494.67
2023-08-27 00:00:00+00:00,26513.66,26577.87,25777.15,26000.01,67059.30654,27705.0,28302.1,,,37096.48
2023-08-30 00:00:00+00:00,26000.0,28142.85,25864.5,27622.24,110491.94692,27705.0,28302.1,,,37765.63
2023-09-02 00:00:00+00:00,27622.24,27643.03,25333.75,25789.12,126348.6835,27705.0,28485.1,,,36464.69
2023-09-05 00:00:00+00:00,25789.12,26135.0,25631.21,25768.49,55801.40713,27663.0,28485.1,,,36108.17
2023-09-08 00:00:00+00:00,25768.5,26445.5,25372.51,26359.08,76738.35785,27430.66,28485.1,,,37717.99
2023-09-11 00:00:00+00:00,26359.09,26385.48,25570.57,25726.35,58865.89802,27332.629999999997,28485.1,,,37258.13
2023-09-14 00:00:00+00:00,25726.35,26567.0,24901.0,26522.0,130521.98609,26521.925,28352.6,,,37682.38
2023-09-17 00:00:00+00:00,26522.0,26888.0,26126.77,26468.67,77069.54114,26521.925,28352.6,,,40211.29
2023-09-20 00:00:00+00:00,26468.67,27483.57,26377.35,27206.68,92134.68567,26521.925,28352.6,,,43822.23
2023-09-23 00:00:00+00:00,27206.69,27388.63,26377.7,26603.1,86693.69599000001,26521.925,28352.6,,,43772.01
2023-09-26 00:00:00+00:00,26603.11,26738.54,25990.46,26266.0,51381.75176,26272.015,28352.6,,,41411.4
2023-09-29 00:00:00+00:00,26266.01,27308.48,26088.34,27066.78,98430.62453,26192.285,28352.6,,,41908.41
